linear,b,d,n_samples,accuracy,trueneg,falseneg,truepos,falsepos,model_count
False,0.2,0.1,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.1,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.8,7,0,5,3,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.5333333333333333,3,0,5,7,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.7333333333333334,6,0,5,4,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.9333333333333333,9,0,5,1,0
False,0.2,0.2,50,0.7333333333333334,6,0,5,4,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.7333333333333334,6,0,5,4,0
False,0.2,0.2,50,0.8,7,0,5,3,0
False,0.2,0.2,50,0.8666666666666667,8,0,5,2,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.8,7,0,5,3,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.7333333333333334,6,0,5,4,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.9333333333333333,9,0,5,1,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.7333333333333334,6,0,5,4,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.5333333333333333,3,0,5,7,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0.2,0.2,50,0.8,7,0,5,3,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.9333333333333333,9,0,5,1,0
False,0.2,0.2,50,0.5333333333333333,3,0,5,7,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.6,4,0,5,6,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4666666666666667,2,0,5,8,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.33333333333333337,0,0,5,10,0
False,0.2,0.2,50,0.5333333333333333,3,0,5,7,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0.2,0.2,50,0.4,1,0,5,9,0
False,0.2,0.2,50,0.6666666666666667,5,0,5,5,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.4,2,1,4,8,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.4,1,0,5,9,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.6666666666666667,5,0,5,5,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.5333333333333333,3,0,5,7,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.6,4,0,5,6,0
False,0,0.1,100,0.6666666666666667,5,0,5,5,0
False,0,0.1,100,0.4666666666666667,2,0,5,8,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.33333333333333337,0,0,5,10,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.4666666666666667,2,0,5,8,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.6,4,0,5,6,0
False,0,0.1,100,0.5333333333333333,3,0,5,7,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.4666666666666667,2,0,5,8,0
False,0,0.1,100,0.6666666666666667,5,0,5,5,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,0.4,1,0,5,9,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.6,4,0,5,6,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.9333333333333333,9,0,5,1,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.8666666666666667,8,0,5,2,0
False,0,0.1,100,0.4666666666666667,2,0,5,8,0
False,0,0.1,100,0.4666666666666667,2,0,5,8,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.6666666666666667,5,0,5,5,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.8,7,0,5,3,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.1,100,0.7333333333333334,6,0,5,4,0
False,0,0.1,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,0.8666666666666667,8,0,5,2,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8666666666666667,8,0,5,2,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8666666666666667,8,0,5,2,0
False,0,0.2,100,0.8,7,0,5,3,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8,7,0,5,3,0
False,0,0.2,100,0.4666666666666667,2,0,5,8,0
False,0,0.2,100,0.8,7,0,5,3,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8,7,0,5,3,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8666666666666667,8,0,5,2,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,0.6,4,0,5,6,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.4666666666666667,2,0,5,8,0
False,0,0.2,100,0.9333333333333333,9,0,5,1,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8,7,0,5,3,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.8666666666666667,8,0,5,2,0
False,0,0.2,100,0.6,4,0,5,6,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.7333333333333334,6,0,5,4,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,1.0,10,0,5,0,0
False,0,0.2,100,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.4,1,0,5,9,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.4,1,0,5,9,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.8,7,0,5,3,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.4,2,1,4,8,0
False,0.1,0.1,100,0.8,7,0,5,3,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.8,7,0,5,3,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.5333333333333333,3,0,5,7,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.4,1,0,5,9,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.8,7,0,5,3,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.4,1,0,5,9,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.4,1,0,5,9,0
False,0.1,0.1,100,0.4,1,0,5,9,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.8,8,1,4,2,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.8,7,0,5,3,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.6,4,0,5,6,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.1,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.1,100,1.0,10,0,5,0,0
False,0.1,0.1,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.1,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.1,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.1,100,0.4666666666666667,2,0,5,8,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.5333333333333333,3,0,5,7,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.5333333333333333,3,0,5,7,0
False,0.1,0.2,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.4,1,0,5,9,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.5333333333333333,3,0,5,7,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.33333333333333337,0,0,5,10,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.6666666666666667,5,0,5,5,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.8,7,0,5,3,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.4,1,0,5,9,0
False,0.1,0.2,100,1.0,10,0,5,0,0
False,0.1,0.2,100,0.7333333333333334,6,0,5,4,0
False,0.1,0.2,100,0.9333333333333333,9,0,5,1,0
False,0.1,0.2,100,0.8666666666666667,8,0,5,2,0
False,0.1,0.2,100,0.6666666666666667,5,0,5,5,0
